Number,Hex value,Name_EN,Type
204,DB 27,Enamel Pumps,Footwear
205,DC 27,Simple Necktie,Accessory
206,DD 27,Waffle Necktie,Accessory
207,DE 27,Seattle,Headwear
208,DF 27,San Francisco,Headwear
209,E0 27,Las Vegas,Headwear
210,E1 27,Chicago,Headwear
211,E2 27,New York,Headwear
212,E3 27,Negotiator,Top
213,E4 27,Hey Boy,Top
214,E5 27,Hey Girl,Top
215,E6 27,Hey Everybody,Top
216,E7 27,Alive,Top
217,E8 27,Sabotage,Top
218,E9 27,3 MC's 1 DJ,Top
219,EA 27,Pass the Mic,Top
220,EB 27,Won't Stop,Bottom
221,EC 27,Don't Stop,Bottom
222,ED 27,Camouflage,Bottom
223,EE 27,Darkness,Bottom
224,EF 27,Denim Coveralls,Top & Bottom
225,F0 27,Work Coveralls,Top & Bottom
226,F1 27,Gold Die,Accessory
227,F2 27,Wild Boar Pendant,Accessory
228,F3 27,King Pendant,Accessory
229,F4 27,Skull Deck,Accessory
230,F5 27,Camo Deck,Accessory
231,F6 27,Cat Deck,Accessory
232,F7 27,TWEWY Promo Coat,Top
233,F8 27,TWEWY Promo Tee,Top
234,F9 27,TWEWY Promo Tote,Accessory
235,FA 27,Pinky's Lipstick,Accessory
236,FB 27,Lollipop's Parka,Top
237,FC 27,Big Guy's Buckle,Accessory
238,FD 27,Pi-Face's Cap,Headwear
239,FE 27,Pi-Face's Coat,Top
240,FF 27,Pi-Face's Jeans,Bottom
241,00 28,Pi-Face's Bandanna,Accessory
242,01 28,Iron Maiden's One-piece,Top & Bottom
243,02 28,Shade's Headphones,Accessory
244,03 28,Sis's Pendant,Accessory
245,04 28,Wizard's Glasses,Accessory
246,05 28,My Phones,Accessory
247,06 28,Your Cap,Headwear
248,07 28,Her Stuffed Animal,Accessory
249,08 28,Angel Feather,Accessory
250,09 28,Gakuran,Top & Bottom
251,0A 28,Sailor Suit,Top & Bottom
252,0B 28,Boys' Uniform with Blazer,Top & Bottom
253,0C 28,Girls' Uniform with Blazer,Top & Bottom
254,0D 28,Girls' Uniform with Sweater,Top & Bottom
255,0E 28,Head Honcho,Top & Bottom
256,0F 28,Yukata,Top & Bottom
257,10 28,The Dead Slammurai,Top & Bottom
258,11 28,The Black Slammurai,Top & Bottom
259,12 28,Nose Glasses,Accessory
260,13 28,Samurai Wig,Headwear
261,14 28,Mr. Mew Suit,Top & Bottom
262,15 28,New Year's Gift,Accessory
263,16 28,Pirate Hat,Headwear
264,17 28,Potted Plant,Accessory
265,18 28,Mr. Claus,Top & Bottom
266,19 28,Mrs. Claus,Top & Bottom
267,1A 28,Black Book Bag,Accessory
268,1B 28,Red Book Bag,Accessory
269,1C 28,Biker Gloves,Accessory
270,1D 28,Maid Costume,Top & Bottom
271,1E 28,Supermask's Mask,Headwear
272,1F 28,Ninja Garb,Top & Bottom
273,20 28,Samurai Helm,Headwear
274,21 28,Samurai Armor,Top & Bottom
275,22 28,Fan of the Rising Sun,Top
276,23 28,Samurai Sword,Accessory
277,24 28,Solid Slammer,Accessory
278,25 28,False Teeth,Accessory
279,26 28,Lucky Mallet,Accessory
280,27 28,Mr. Ducky,Accessory
